,Stationscode,Datum,Feinstaub (PM₁₀) stündlich gleitendes Tagesmittel in µg/m³,Ozon (O₃) Ein-Stunden-Mittelwert in µg/m³,Stickstoffdioxid (NO₂) Ein-Stunden-Mittelwert in µg/m³,Luftqualitätsindex
3719,DENW059,'05.04.2021 01:00',20,16,24,gut
3720,DENW059,'05.04.2021 02:00',20,22,16,sehr gut
3721,DENW059,'05.04.2021 03:00',20,15,15,sehr gut
3722,DENW059,'05.04.2021 04:00',20,14,29,gut
3723,DENW059,'05.04.2021 05:00',20,-,39,gut
3724,DENW059,'05.04.2021 06:00',20,4,31,gut
3725,DENW059,'05.04.2021 07:00',20,21,22,gut
3726,DENW059,'05.04.2021 08:00',20,56,12,sehr gut
3727,DENW059,'05.04.2021 09:00',20,55,13,sehr gut
3728,DENW059,'05.04.2021 10:00',20,38,26,gut
3729,DENW059,'05.04.2021 11:00',20,35,28,gut
3730,DENW059,'05.04.2021 12:00',19,64,10,gut
3731,DENW059,'05.04.2021 13:00',18,67,9,gut
3732,DENW059,'05.04.2021 14:00',18,68,8,gut
3733,DENW059,'05.04.2021 15:00',17,71,-,gut
3734,DENW059,'05.04.2021 16:00',17,76,8,gut
3735,DENW059,'05.04.2021 17:00',17,77,7,gut
3736,DENW059,'05.04.2021 18:00',16,71,5,gut
3737,DENW059,'05.04.2021 19:00',16,68,8,gut
3738,DENW059,'05.04.2021 20:00',15,61,10,gut
3739,DENW059,'05.04.2021 21:00',15,60,9,sehr gut
3740,DENW059,'05.04.2021 22:00',14,56,9,sehr gut
3741,DENW059,'05.04.2021 23:00',14,57,9,sehr gut
3742,DENW059,'05.04.2021 24:00',13,48,19,sehr gut
3743,DENW059,'06.04.2021 01:00',13,56,8,sehr gut
3744,DENW059,'06.04.2021 02:00',13,56,6,sehr gut
3745,DENW059,'06.04.2021 03:00',12,59,5,sehr gut
3746,DENW059,'06.04.2021 04:00',12,61,4,gut
3747,DENW059,'06.04.2021 05:00',12,62,5,gut
3748,DENW059,'06.04.2021 06:00',11,-,11,sehr gut
3749,DENW059,'06.04.2021 07:00',11,47,21,gut
3750,DENW059,'06.04.2021 08:00',10,48,25,gut
3751,DENW059,'06.04.2021 09:00',9,56,20,sehr gut
3752,DENW059,'06.04.2021 10:00',8,60,17,sehr gut
3753,DENW059,'06.04.2021 11:00',8,65,15,gut
3754,DENW059,'06.04.2021 12:00',8,67,13,gut
3755,DENW059,'06.04.2021 13:00',8,69,11,gut
3756,DENW059,'06.04.2021 14:00',8,65,15,gut
3757,DENW059,'06.04.2021 15:00',8,63,16,gut
3758,DENW059,'06.04.2021 16:00',8,69,-,gut
3759,DENW059,'06.04.2021 17:00',8,68,16,gut
3760,DENW059,'06.04.2021 18:00',8,68,15,gut
3761,DENW059,'06.04.2021 19:00',8,66,16,gut
3762,DENW059,'06.04.2021 20:00',8,65,15,gut
3763,DENW059,'06.04.2021 21:00',8,62,14,gut
3764,DENW059,'06.04.2021 22:00',8,65,11,gut
3765,DENW059,'06.04.2021 23:00',8,59,12,sehr gut
3766,DENW059,'06.04.2021 24:00',8,59,10,sehr gut
3767,DENW059,'07.04.2021 01:00',8,59,10,sehr gut
3768,DENW059,'07.04.2021 02:00',7,58,9,sehr gut
3769,DENW059,'07.04.2021 03:00',7,59,8,sehr gut
3770,DENW059,'07.04.2021 04:00',7,60,9,sehr gut
3771,DENW059,'07.04.2021 05:00',7,58,12,sehr gut
3772,DENW059,'07.04.2021 06:00',8,56,16,sehr gut
3773,DENW059,'07.04.2021 07:00',8,-,21,gut
3774,DENW059,'07.04.2021 08:00',8,42,31,gut
3775,DENW059,'07.04.2021 09:00',8,44,29,gut
3776,DENW059,'07.04.2021 10:00',8,45,29,gut
3777,DENW059,'07.04.2021 11:00',8,50,22,gut
3778,DENW059,'07.04.2021 12:00',8,47,24,gut
3779,DENW059,'07.04.2021 13:00',8,47,24,gut
3780,DENW059,'07.04.2021 14:00',8,45,25,gut
3781,DENW059,'07.04.2021 15:00',8,50,21,gut
3782,DENW059,'07.04.2021 16:00',8,51,21,gut
3783,DENW059,'07.04.2021 17:00',8,59,-,sehr gut
3784,DENW059,'07.04.2021 18:00',8,63,15,gut
3785,DENW059,'07.04.2021 19:00',8,56,19,sehr gut
3786,DENW059,'07.04.2021 20:00',9,60,16,sehr gut
3787,DENW059,'07.04.2021 21:00',9,63,15,gut
3788,DENW059,'07.04.2021 22:00',9,64,14,gut
3789,DENW059,'07.04.2021 23:00',9,63,13,gut
3790,DENW059,'07.04.2021 24:00',10,62,12,gut
3791,DENW059,'08.04.2021 01:00',10,57,13,sehr gut
3792,DENW059,'08.04.2021 02:00',10,59,11,sehr gut
3793,DENW059,'08.04.2021 03:00',11,58,11,sehr gut
3794,DENW059,'08.04.2021 04:00',11,57,12,sehr gut
3795,DENW059,'08.04.2021 05:00',11,49,17,sehr gut
3796,DENW059,'08.04.2021 06:00',10,49,22,gut
3797,DENW059,'08.04.2021 07:00',11,31,39,gut
3798,DENW059,'08.04.2021 08:00',11,-,44,mäßig
3799,DENW059,'08.04.2021 09:00',12,30,-,sehr gut
3800,DENW059,'08.04.2021 10:00',12,38,-,sehr gut
3801,DENW059,'08.04.2021 11:00',13,57,-,sehr gut
3802,DENW059,'08.04.2021 12:00',13,70,15,gut
3803,DENW059,'08.04.2021 13:00',13,72,14,gut
3804,DENW059,'08.04.2021 14:00',13,78,10,gut
3805,DENW059,'08.04.2021 15:00',13,84,7,gut
3806,DENW059,'08.04.2021 16:00',13,86,9,gut
3807,DENW059,'08.04.2021 17:00',14,88,7,gut
3808,DENW059,'08.04.2021 18:00',14,83,12,gut
3809,DENW059,'08.04.2021 19:00',14,82,13,gut
3810,DENW059,'08.04.2021 20:00',14,83,10,gut
3811,DENW059,'08.04.2021 21:00',14,72,12,gut
3812,DENW059,'08.04.2021 22:00',15,63,15,gut
3813,DENW059,'08.04.2021 23:00',16,51,22,gut
3814,DENW059,'08.04.2021 24:00',16,39,28,gut
3815,DENW059,'09.04.2021 01:00',16,22,42,mäßig
3816,DENW059,'09.04.2021 02:00',17,14,41,mäßig
3817,DENW059,'09.04.2021 03:00',17,25,33,gut
3818,DENW059,'09.04.2021 04:00',17,28,27,gut
3819,DENW059,'09.04.2021 05:00',17,35,26,gut
3820,DENW059,'09.04.2021 06:00',17,42,22,gut
3821,DENW059,'09.04.2021 07:00',17,36,29,gut
3822,DENW059,'09.04.2021 08:00',17,33,36,gut
3823,DENW059,'09.04.2021 09:00',17,31,45,mäßig
3824,DENW059,'09.04.2021 10:00',16,44,35,gut
3825,DENW059,'09.04.2021 11:00',16,65,19,gut
3826,DENW059,'09.04.2021 12:00',16,82,-,gut
3827,DENW059,'09.04.2021 13:00',16,84,13,gut
3828,DENW059,'09.04.2021 14:00',16,86,12,gut
3829,DENW059,'09.04.2021 15:00',16,90,10,gut
3830,DENW059,'09.04.2021 16:00',16,90,13,gut
3831,DENW059,'09.04.2021 17:00',16,93,12,gut
3832,DENW059,'09.04.2021 18:00',16,93,12,gut
3833,DENW059,'09.04.2021 19:00',16,86,17,gut
3834,DENW059,'09.04.2021 20:00',16,75,27,gut
3835,DENW059,'09.04.2021 21:00',17,53,43,mäßig
3836,DENW059,'09.04.2021 22:00',17,7,84,mäßig
3837,DENW059,'09.04.2021 23:00',17,3,80,mäßig
3838,DENW059,'09.04.2021 24:00',17,-,41,mäßig
3839,DENW059,'10.04.2021 01:00',17,52,11,sehr gut
3840,DENW059,'10.04.2021 02:00',16,52,8,sehr gut
3841,DENW059,'10.04.2021 03:00',16,56,8,sehr gut
3842,DENW059,'10.04.2021 04:00',16,51,11,sehr gut
3843,DENW059,'10.04.2021 05:00',16,36,11,sehr gut
3844,DENW059,'10.04.2021 06:00',16,6,35,gut
3845,DENW059,'10.04.2021 07:00',16,1,40,gut
3846,DENW059,'10.04.2021 08:00',16,5,37,gut
3847,DENW059,'10.04.2021 09:00',15,15,31,gut
3848,DENW059,'10.04.2021 10:00',15,44,20,sehr gut
3849,DENW059,'10.04.2021 11:00',15,50,19,sehr gut
3850,DENW059,'10.04.2021 12:00',15,57,19,sehr gut
3851,DENW059,'10.04.2021 13:00',15,67,-,gut
3852,DENW059,'10.04.2021 14:00',15,72,13,gut
3853,DENW059,'10.04.2021 15:00',15,76,12,gut
3854,DENW059,'10.04.2021 16:00',15,69,14,gut
3855,DENW059,'10.04.2021 17:00',15,59,15,sehr gut
3856,DENW059,'10.04.2021 18:00',15,49,17,sehr gut
3857,DENW059,'10.04.2021 19:00',15,54,11,sehr gut
3858,DENW059,'10.04.2021 20:00',14,55,11,sehr gut
3859,DENW059,'10.04.2021 21:00',14,54,12,sehr gut
3860,DENW059,'10.04.2021 22:00',13,54,11,sehr gut
3861,DENW059,'10.04.2021 23:00',12,53,11,sehr gut
3862,DENW059,'10.04.2021 24:00',12,49,11,sehr gut
3863,DENW059,'11.04.2021 01:00',11,-,11,sehr gut
3864,DENW059,'11.04.2021 02:00',11,59,8,sehr gut
3865,DENW059,'11.04.2021 03:00',11,56,8,sehr gut
3866,DENW059,'11.04.2021 04:00',11,49,9,sehr gut
3867,DENW059,'11.04.2021 05:00',11,32,11,sehr gut
3868,DENW059,'11.04.2021 06:00',11,28,10,sehr gut
3869,DENW059,'11.04.2021 07:00',10,22,12,sehr gut
3870,DENW059,'11.04.2021 08:00',10,30,9,sehr gut
3871,DENW059,'11.04.2021 09:00',10,36,9,sehr gut
3872,DENW059,'11.04.2021 10:00',10,41,10,sehr gut
3873,DENW059,'11.04.2021 11:00',9,42,10,sehr gut
3874,DENW059,'11.04.2021 12:00',9,46,10,sehr gut
3875,DENW059,'11.04.2021 13:00',9,51,11,sehr gut
3876,DENW059,'11.04.2021 14:00',8,57,-,sehr gut
3877,DENW059,'11.04.2021 15:00',8,55,15,sehr gut
3878,DENW059,'11.04.2021 16:00',7,57,16,sehr gut
3879,DENW059,'11.04.2021 17:00',7,54,18,sehr gut
3880,DENW059,'11.04.2021 18:00',7,56,18,sehr gut
3881,DENW059,'11.04.2021 19:00',7,43,26,gut
3882,DENW059,'11.04.2021 20:00',7,47,21,gut
3883,DENW059,'11.04.2021 21:00',7,29,28,gut
3884,DENW059,'11.04.2021 22:00',7,23,29,gut
3885,DENW059,'11.04.2021 23:00',7,32,23,gut
3886,DENW059,'11.04.2021 24:00',6,22,29,gut
3887,DENW059,'12.04.2021 01:00',6,45,15,sehr gut
3888,DENW059,'12.04.2021 02:00',6,-,12,sehr gut
3889,DENW059,'12.04.2021 03:00',6,26,15,sehr gut
3890,DENW059,'12.04.2021 04:00',6,16,18,sehr gut
3891,DENW059,'12.04.2021 05:00',6,19,20,sehr gut
3892,DENW059,'12.04.2021 06:00',6,18,27,gut
3893,DENW059,'12.04.2021 07:00',6,5,44,mäßig
3894,DENW059,'12.04.2021 08:00',7,1,52,mäßig
3895,DENW059,'12.04.2021 09:00',7,15,44,mäßig
3896,DENW059,'12.04.2021 10:00',7,24,36,gut
3897,DENW059,'12.04.2021 11:00',7,40,27,gut
3898,DENW059,'12.04.2021 12:00',8,60,15,sehr gut
3899,DENW059,'12.04.2021 13:00',8,57,17,sehr gut
3900,DENW059,'12.04.2021 14:00',8,57,23,gut
3901,DENW059,'12.04.2021 15:00',8,66,-,gut
3902,DENW059,'12.04.2021 16:00',9,73,16,gut
3903,DENW059,'12.04.2021 17:00',8,72,16,gut
3904,DENW059,'12.04.2021 18:00',8,73,16,gut
3905,DENW059,'12.04.2021 19:00',8,72,16,gut
3906,DENW059,'12.04.2021 20:00',8,74,13,gut
3907,DENW059,'12.04.2021 21:00',8,64,16,gut
3908,DENW059,'12.04.2021 22:00',8,24,36,gut
3909,DENW059,'12.04.2021 23:00',9,16,30,gut
3910,DENW059,'12.04.2021 24:00',9,9,28,gut
3911,DENW059,'13.04.2021 01:00',9,6,31,gut
3912,DENW059,'13.04.2021 02:00',10,0.9,36,gut
3913,DENW059,'13.04.2021 03:00',10,-,25,gut
3914,DENW059,'13.04.2021 04:00',10,1,28,gut
3915,DENW059,'13.04.2021 05:00',10,0.8,30,gut
3916,DENW059,'13.04.2021 06:00',11,0.2,34,gut
3917,DENW059,'13.04.2021 07:00',12,0.1,29,gut
3918,DENW059,'13.04.2021 08:00',13,2,31,gut
3919,DENW059,'13.04.2021 09:00',13,3,47,mäßig
3920,DENW059,'13.04.2021 10:00',14,16,52,mäßig
3921,DENW059,'13.04.2021 11:00',14,41,37,gut
3922,DENW059,'13.04.2021 12:00',15,62,23,gut
3923,DENW059,'13.04.2021 13:00',15,71,14,gut
3924,DENW059,'13.04.2021 14:00',15,68,18,gut
3925,DENW059,'13.04.2021 15:00',16,71,15,gut
3926,DENW059,'13.04.2021 16:00',16,72,-,gut
3927,DENW059,'13.04.2021 17:00',16,71,17,gut
3928,DENW059,'13.04.2021 18:00',16,71,17,gut
3929,DENW059,'13.04.2021 19:00',16,71,16,gut
3930,DENW059,'13.04.2021 20:00',16,68,17,gut
3931,DENW059,'13.04.2021 21:00',16,56,31,gut
3932,DENW059,'13.04.2021 22:00',16,42,34,gut
3933,DENW059,'13.04.2021 23:00',16,24,36,gut
3934,DENW059,'13.04.2021 24:00',16,13,52,mäßig
3935,DENW059,'14.04.2021 01:00',16,17,48,mäßig
3936,DENW059,'14.04.2021 02:00',16,20,45,mäßig
3937,DENW059,'14.04.2021 03:00',16,15,42,mäßig
3938,DENW059,'14.04.2021 04:00',16,-,57,mäßig
3939,DENW059,'14.04.2021 05:00',16,-,52,mäßig
3940,DENW059,'14.04.2021 06:00',15,-,42,mäßig
3941,DENW059,'14.04.2021 07:00',15,-,40,gut
3942,DENW059,'14.04.2021 08:00',14,-,40,gut
3943,DENW059,'14.04.2021 09:00',14,6,37,gut
3944,DENW059,'14.04.2021 10:00',14,12,39,gut
3945,DENW059,'14.04.2021 11:00',13,46,26,gut
3946,DENW059,'14.04.2021 12:00',13,47,37,gut
3947,DENW059,'14.04.2021 13:00',13,60,25,gut
3948,DENW059,'14.04.2021 14:00',13,82,14,gut
3949,DENW059,'14.04.2021 15:00',13,81,16,gut
3950,DENW059,'14.04.2021 16:00',13,83,15,gut
3951,DENW059,'14.04.2021 17:00',14,69,-,gut
3952,DENW059,'14.04.2021 18:00',14,78,18,gut
3953,DENW059,'14.04.2021 19:00',14,81,18,gut
3954,DENW059,'14.04.2021 20:00',15,70,23,gut
3955,DENW059,'14.04.2021 21:00',15,53,36,gut
3956,DENW059,'14.04.2021 22:00',15,49,37,gut
3957,DENW059,'14.04.2021 23:00',15,31,35,gut
3958,DENW059,'14.04.2021 24:00',15,23,34,gut
3959,DENW059,'15.04.2021 01:00',16,2,58,mäßig
3960,DENW059,'15.04.2021 02:00',16,6,53,mäßig
3961,DENW059,'15.04.2021 03:00',16,7,48,mäßig
3962,DENW059,'15.04.2021 04:00',16,1,45,mäßig
3963,DENW059,'15.04.2021 05:00',16,-,41,mäßig
3964,DENW059,'15.04.2021 06:00',16,0,39,gut
3965,DENW059,'15.04.2021 07:00',16,-,42,mäßig
3966,DENW059,'15.04.2021 08:00',16,0.8,44,mäßig
3967,DENW059,'15.04.2021 09:00',16,4,49,mäßig
3968,DENW059,'15.04.2021 10:00',16,29,41,mäßig
3969,DENW059,'15.04.2021 11:00',16,43,35,gut
3970,DENW059,'15.04.2021 12:00',16,62,21,gut
3971,DENW059,'15.04.2021 13:00',16,63,21,gut
3972,DENW059,'15.04.2021 14:00',15,72,16,gut
3973,DENW059,'15.04.2021 15:00',15,78,14,gut
3974,DENW059,'15.04.2021 16:00',15,78,13,gut
3975,DENW059,'15.04.2021 17:00',15,78,14,gut
3976,DENW059,'15.04.2021 18:00',15,81,-,gut
3977,DENW059,'15.04.2021 19:00',15,79,17,gut
3978,DENW059,'15.04.2021 20:00',15,73,20,gut
3979,DENW059,'15.04.2021 21:00',15,70,22,gut
3980,DENW059,'15.04.2021 22:00',14,45,40,gut
3981,DENW059,'15.04.2021 23:00',14,33,44,mäßig
3982,DENW059,'15.04.2021 24:00',14,10,66,mäßig
3983,DENW059,'16.04.2021 01:00',14,3,68,mäßig
3984,DENW059,'16.04.2021 02:00',14,0,63,mäßig
3985,DENW059,'16.04.2021 03:00',14,0.3,58,mäßig
3986,DENW059,'16.04.2021 04:00',14,0.1,55,mäßig
3987,DENW059,'16.04.2021 05:00',14,-,53,mäßig
3988,DENW059,'16.04.2021 06:00',14,-,48,mäßig
3989,DENW059,'16.04.2021 07:00',14,3,48,mäßig
3990,DENW059,'16.04.2021 08:00',15,2,66,mäßig
3991,DENW059,'16.04.2021 09:00',15,25,53,mäßig
3992,DENW059,'16.04.2021 10:00',14,46,33,gut
3993,DENW059,'16.04.2021 11:00',14,56,25,gut
3994,DENW059,'16.04.2021 12:00',14,63,21,gut
3995,DENW059,'16.04.2021 13:00',14,72,17,gut
3996,DENW059,'16.04.2021 14:00',14,75,15,gut
3997,DENW059,'16.04.2021 15:00',14,81,12,gut
3998,DENW059,'16.04.2021 16:00',14,82,12,gut
3999,DENW059,'16.04.2021 17:00',14,83,10,gut
4000,DENW059,'16.04.2021 18:00',14,77,14,gut
4001,DENW059,'16.04.2021 19:00',14,76,-,gut
4002,DENW059,'16.04.2021 20:00',14,72,21,gut
4003,DENW059,'16.04.2021 21:00',14,55,36,gut
4004,DENW059,'16.04.2021 22:00',14,25,61,mäßig
4005,DENW059,'16.04.2021 23:00',14,23,60,mäßig
4006,DENW059,'16.04.2021 24:00',14,5,79,mäßig
4007,DENW059,'17.04.2021 01:00',14,4,73,mäßig
4008,DENW059,'17.04.2021 02:00',15,9,60,mäßig
4009,DENW059,'17.04.2021 03:00',15,18,49,mäßig
4010,DENW059,'17.04.2021 04:00',15,16,55,mäßig
4011,DENW059,'17.04.2021 05:00',15,14,53,mäßig
4012,DENW059,'17.04.2021 06:00',15,7,52,mäßig
4013,DENW059,'17.04.2021 07:00',15,-,57,mäßig
4014,DENW059,'17.04.2021 08:00',15,1,54,mäßig
4015,DENW059,'17.04.2021 09:00',14,31,41,mäßig
4016,DENW059,'17.04.2021 10:00',14,51,27,gut
4017,DENW059,'17.04.2021 11:00',14,67,18,gut
4018,DENW059,'17.04.2021 12:00',14,74,14,gut
4019,DENW059,'17.04.2021 13:00',14,77,12,gut
4020,DENW059,'17.04.2021 14:00',14,81,11,gut
4021,DENW059,'17.04.2021 15:00',14,79,12,gut
4022,DENW059,'17.04.2021 16:00',15,79,12,gut
4023,DENW059,'17.04.2021 17:00',15,80,13,gut
4024,DENW059,'17.04.2021 18:00',15,77,17,gut
4025,DENW059,'17.04.2021 19:00',15,74,18,gut
4026,DENW059,'17.04.2021 20:00',15,68,-,gut
4027,DENW059,'17.04.2021 21:00',15,45,37,gut
4028,DENW059,'17.04.2021 22:00',15,24,47,mäßig
4029,DENW059,'17.04.2021 23:00',15,31,32,gut
4030,DENW059,'17.04.2021 24:00',15,17,48,mäßig
4031,DENW059,'18.04.2021 01:00',15,7,58,mäßig
4032,DENW059,'18.04.2021 02:00',15,11,61,mäßig
4033,DENW059,'18.04.2021 03:00',14,22,46,mäßig
4034,DENW059,'18.04.2021 04:00',14,10,41,mäßig
4035,DENW059,'18.04.2021 05:00',15,5,39,gut
4036,DENW059,'18.04.2021 06:00',14,7,35,gut
4037,DENW059,'18.04.2021 07:00',14,20,28,gut
4038,DENW059,'18.04.2021 08:00',14,-,28,gut
4039,DENW059,'18.04.2021 09:00',14,30,29,gut
4040,DENW059,'18.04.2021 10:00',14,29,31,gut
4041,DENW059,'18.04.2021 11:00',15,30,37,gut
4042,DENW059,'18.04.2021 12:00',17,27,44,mäßig
4043,DENW059,'18.04.2021 13:00',17,35,36,gut
4044,DENW059,'18.04.2021 14:00',17,46,24,gut
4045,DENW059,'18.04.2021 15:00',18,47,28,gut
4046,DENW059,'18.04.2021 16:00',18,61,21,gut
4047,DENW059,'18.04.2021 17:00',18,70,19,gut
4048,DENW059,'18.04.2021 18:00',19,69,22,gut
4049,DENW059,'18.04.2021 19:00',20,65,25,gut
4050,DENW059,'18.04.2021 20:00',20,63,26,gut
4051,DENW059,'18.04.2021 21:00',20,27,-,sehr gut
4052,DENW059,'18.04.2021 22:00',21,4,77,mäßig
4053,DENW059,'18.04.2021 23:00',21,6,66,mäßig
4054,DENW059,'18.04.2021 24:00',21,28,39,gut
4055,DENW059,'19.04.2021 01:00',21,43,28,gut
4056,DENW059,'19.04.2021 02:00',22,50,22,gut
4057,DENW059,'19.04.2021 03:00',22,30,23,gut
4058,DENW059,'19.04.2021 04:00',22,13,23,gut
4059,DENW059,'19.04.2021 05:00',22,25,21,gut
4060,DENW059,'19.04.2021 06:00',23,17,30,gut
4061,DENW059,'19.04.2021 07:00',23,13,40,gut
4062,DENW059,'19.04.2021 08:00',23,3,46,mäßig
4063,DENW059,'19.04.2021 09:00',24,1,47,mäßig
4064,DENW059,'19.04.2021 10:00',23,4,44,mäßig
4065,DENW059,'19.04.2021 11:00',23,5,42,mäßig
4066,DENW059,'19.04.2021 12:00',23,17,33,gut
4067,DENW059,'19.04.2021 13:00',23,20,35,gut
4068,DENW059,'19.04.2021 14:00',23,39,30,gut
4069,DENW059,'19.04.2021 15:00',23,54,28,gut
4070,DENW059,'19.04.2021 16:00',23,62,24,gut
4071,DENW059,'19.04.2021 17:00',23,55,28,gut
4072,DENW059,'19.04.2021 18:00',23,56,29,gut
4073,DENW059,'19.04.2021 19:00',23,44,38,gut
4074,DENW059,'19.04.2021 20:00',22,35,42,mäßig
4075,DENW059,'19.04.2021 21:00',23,21,50,mäßig
4076,DENW059,'19.04.2021 22:00',22,3,-,gut
4077,DENW059,'19.04.2021 23:00',22,1,51,mäßig
4078,DENW059,'19.04.2021 24:00',22,-,45,mäßig
4079,DENW059,'20.04.2021 01:00',23,0.8,38,gut
4080,DENW059,'20.04.2021 02:00',23,0.6,35,gut
4081,DENW059,'20.04.2021 03:00',23,0.6,34,gut
4082,DENW059,'20.04.2021 04:00',23,0.7,25,gut
4083,DENW059,'20.04.2021 05:00',23,0.6,21,gut
4084,DENW059,'20.04.2021 06:00',23,0.4,21,gut
4085,DENW059,'20.04.2021 07:00',22,2,28,gut
4086,DENW059,'20.04.2021 08:00',22,5,26,gut
4087,DENW059,'20.04.2021 09:00',22,12,27,gut
4088,DENW059,'20.04.2021 10:00',22,18,27,gut
4089,DENW059,'20.04.2021 11:00',22,29,29,gut
4090,DENW059,'20.04.2021 12:00',21,61,15,gut
4091,DENW059,'20.04.2021 13:00',21,84,8,gut
4092,DENW059,'20.04.2021 14:00',20,93,8,gut
4093,DENW059,'20.04.2021 15:00',19,97,6,gut
4094,DENW059,'20.04.2021 16:00',19,99,7,gut
4095,DENW059,'20.04.2021 17:00',18,104,8,gut
4096,DENW059,'20.04.2021 18:00',18,108,6,gut
4097,DENW059,'20.04.2021 19:00',18,96,16,gut
4098,DENW059,'20.04.2021 20:00',18,74,33,gut
4099,DENW059,'20.04.2021 21:00',17,39,60,mäßig
4100,DENW059,'20.04.2021 22:00',17,6,90,mäßig
4101,DENW059,'20.04.2021 23:00',17,1,-,sehr gut
4102,DENW059,'20.04.2021 24:00',17,0.6,92,mäßig
4103,DENW059,'21.04.2021 01:00',17,-,79,mäßig
4104,DENW059,'21.04.2021 02:00',17,2,63,mäßig
4105,DENW059,'21.04.2021 03:00',17,3,56,mäßig
4106,DENW059,'21.04.2021 04:00',17,0.7,49,mäßig
4107,DENW059,'21.04.2021 05:00',17,0.8,38,gut
4108,DENW059,'21.04.2021 06:00',18,1,35,gut
4109,DENW059,'21.04.2021 07:00',18,1,30,gut
4110,DENW059,'21.04.2021 08:00',19,2,27,gut
4111,DENW059,'21.04.2021 09:00',19,3,35,gut
4112,DENW059,'21.04.2021 10:00',20,5,42,mäßig
4113,DENW059,'21.04.2021 11:00',20,6,43,mäßig
4114,DENW059,'21.04.2021 12:00',22,15,46,mäßig
4115,DENW059,'21.04.2021 13:00',22,35,40,gut
4116,DENW059,'21.04.2021 14:00',23,52,32,gut
4117,DENW059,'21.04.2021 15:00',25,80,26,gut
4118,DENW059,'21.04.2021 16:00',26,90,24,gut
4119,DENW059,'21.04.2021 17:00',26,101,17,gut
4120,DENW059,'21.04.2021 18:00',27,98,19,gut
4121,DENW059,'21.04.2021 19:00',28,99,18,gut
4122,DENW059,'21.04.2021 20:00',28,93,19,gut
4123,DENW059,'21.04.2021 21:00',29,84,16,gut
4124,DENW059,'21.04.2021 22:00',29,75,16,gut
4125,DENW059,'21.04.2021 23:00',28,75,14,gut
4126,DENW059,'21.04.2021 24:00',28,77,-,gut
4127,DENW059,'22.04.2021 01:00',28,80,9,gut
4128,DENW059,'22.04.2021 02:00',28,-,9,gut
4129,DENW059,'22.04.2021 03:00',27,67,12,gut
4130,DENW059,'22.04.2021 04:00',27,64,12,gut
4131,DENW059,'22.04.2021 05:00',26,58,14,gut
4132,DENW059,'22.04.2021 06:00',26,33,33,gut
4133,DENW059,'22.04.2021 07:00',26,2,58,mäßig
4134,DENW059,'22.04.2021 08:00',26,4,58,mäßig
4135,DENW059,'22.04.2021 09:00',26,32,42,mäßig
4136,DENW059,'22.04.2021 10:00',25,45,34,gut
4137,DENW059,'22.04.2021 11:00',24,62,19,gut
4138,DENW059,'22.04.2021 12:00',23,69,15,gut
4139,DENW059,'22.04.2021 13:00',23,70,14,gut
4140,DENW059,'22.04.2021 14:00',22,73,13,gut
4141,DENW059,'22.04.2021 15:00',22,76,11,gut
4142,DENW059,'22.04.2021 16:00',22,72,16,gut
4143,DENW059,'22.04.2021 17:00',21,72,17,gut
4144,DENW059,'22.04.2021 18:00',22,73,16,gut
4145,DENW059,'22.04.2021 19:00',22,71,19,gut
4146,DENW059,'22.04.2021 20:00',21,67,19,gut
4147,DENW059,'22.04.2021 21:00',21,58,24,gut
4148,DENW059,'22.04.2021 22:00',21,43,32,gut
4149,DENW059,'22.04.2021 23:00',21,46,28,gut
4150,DENW059,'22.04.2021 24:00',21,35,33,gut
4151,DENW059,'23.04.2021 01:00',21,51,-,gut
4152,DENW059,'23.04.2021 02:00',21,40,23,gut
4153,DENW059,'23.04.2021 03:00',21,-,35,gut
4154,DENW059,'23.04.2021 04:00',21,7,43,mäßig
4155,DENW059,'23.04.2021 05:00',21,1,47,mäßig
4156,DENW059,'23.04.2021 06:00',21,0.9,45,mäßig
4157,DENW059,'23.04.2021 07:00',21,1,48,mäßig
4158,DENW059,'23.04.2021 08:00',21,3,53,mäßig
4159,DENW059,'23.04.2021 09:00',21,32,41,mäßig
4160,DENW059,'23.04.2021 10:00',21,62,19,gut
4161,DENW059,'23.04.2021 11:00',21,64,20,gut
4162,DENW059,'23.04.2021 12:00',20,63,22,gut
4163,DENW059,'23.04.2021 13:00',20,68,19,gut
4164,DENW059,'23.04.2021 14:00',20,75,15,gut
4165,DENW059,'23.04.2021 15:00',19,76,17,gut
4166,DENW059,'23.04.2021 16:00',19,79,18,gut
4167,DENW059,'23.04.2021 17:00',19,81,18,gut
4168,DENW059,'23.04.2021 18:00',19,81,19,gut
4169,DENW059,'23.04.2021 19:00',18,75,23,gut
4170,DENW059,'23.04.2021 20:00',18,74,24,gut
4171,DENW059,'23.04.2021 21:00',18,54,35,gut
4172,DENW059,'23.04.2021 22:00',18,21,60,mäßig
4173,DENW059,'23.04.2021 23:00',18,5,69,mäßig
4174,DENW059,'23.04.2021 24:00',19,1,69,mäßig
4175,DENW059,'24.04.2021 01:00',19,1,63,mäßig
4176,DENW059,'24.04.2021 02:00',19,2,-,sehr gut
4177,DENW059,'24.04.2021 03:00',19,1,57,mäßig
4178,DENW059,'24.04.2021 04:00',20,-,52,mäßig
4179,DENW059,'24.04.2021 05:00',20,0.3,47,mäßig
4180,DENW059,'24.04.2021 06:00',20,0.8,55,mäßig
